18,26,10
88316,8,12,6
77318,12,22,5
59058,12,3,3
88040,13,22,5
47493,17,24,3
53756,13,2,0
49456,9,20,5
27072,13,0,3
12498,3,15,2
52450,12,6,8
54126,8,20,0
31809,13,15,2
16178,13,7,2
81904,16,21,0
59149,0,10,9
39875,4,19,3
74040,13,1,5
24658,14,4,7
48303,6,15,3
77381,3,5,7
99839,16,9,3
75869,12,19,3
88993,6,16,7
95097,16,20,3
53455,3,8,9
69134,0,5,1
85609,11,8,2
30160,2,17,6
70873,10,0,3
93573,5,16,3
40585,5,22,8
64343,14,16,6
53313,14,15,4
81151,0,23,1
19616,8,25,6
92655,16,9,3
56354,13,11,4
62316,16,9,3
30840,0,10,4
39190,11,21,7
86816,17,17,1
84928,1,22,1
12747,11,6,0
57237,15,21,7
56414,9,8,8
13545,9,10,5
36461,11,4,0
47852,11,13,7
42182,8,24,9
66815,12,0,7
39758,14,8,7
30040,14,18,7
17856,15,16,1
82091,17,16,4
62836,4,25,4
62822,12,8,3
45079,4,22,6
87876,10,24,8
32956,9,11,6
99892,12,6,6
78721,11,10,9
14248,9,5,3
16849,7,18,8
86359,0,21,9
63795,10,13,7
52489,12,19,7
17125,17,8,1
11661,15,18,7
85260,17,25,5
81453,9,21,7
78509,8,24,1
79664,7,18,1
25339,11,22,5
97462,10,23,8
26644,16,10,6
31113,14,24,1
18410,15,21,8
73809,1,3,0
78964,11,10,1
95244,12,8,1
63121,8,10,3
86520,9,8,4
20592,8,18,5
29033,8,18,1
83696,8,22,6
65359,8,0,7
87223,1,6,9
46495,16,13,3
21859,2,23,8
79502,7,10,9
98770,15,5,9
79609,11,9,0
39155,16,6,3
60922,15,22,3
61665,2,5,5
85914,11,17,3
73153,7,2,9
21728,6,13,4
52859,9,12,2
86651,1,17,1
33593,1,4,3
39505,1,0,6
51418,4,9,0
15820,11,11,9
92679,13,16,1
41161,14,7,9
70816,8,9,8
43456,15,8,4
37965,0,13,5
72569,11,15,0
74908,17,6,9
76975,14,25,0
28772,8,3,4
96730,6,7,1
80329,15,4,5
66358,12,5,4
60251,5,19,8
93115,4,16,2
39324,3,1,8
93135,4,21,1
64988,1,12,5
82975,2,8,1
89190,6,14,6
93115,15,14,3
53250,17,18,7
57559,17,15,5
52212,12,15,9
91358,5,15,3
62387,16,2,3
26196,5,18,3
94833,2,18,1
60033,9,24,4
28587,0,19,5
61211,16,22,6
79150,17,20,8
77921,1,12,6
14630,3,18,0
70386,11,13,2
36239,12,25,5
63397,5,5,2
82602,14,19,1
35542,7,0,3
14217,15,23,8
62830,3,0,7
79369,10,20,2
19463,12,25,5
76540,16,3,8
97947,14,17,7
99565,1,12,8
17183,9,11,9
20493,12,18,9
